datetime_utc,(t+1),(t+2),(t+3),(t+4),(t+5),(t+6)
2020-01-01 11:00:00+00:00,0.022278458747573497,0.020897803608430878,0.01806519189103512,0.01675583819100302,0.01908933983462435,0.020366283789606282
2020-01-01 12:00:00+00:00,0.020897803608430878,0.01806519189103512,0.01675583819100302,0.01908933983462435,0.020366283789606282,0.02389894600008844
2020-01-01 13:00:00+00:00,0.01806519189103512,0.01675583819100302,0.01908933983462435,0.020366283789606282,0.02389894600008844,0.025675000028844805
2020-01-01 14:00:00+00:00,0.01675583819100302,0.01908933983462435,0.020366283789606282,0.02389894600008844,0.025675000028844805,0.02578519316201568
2020-01-01 15:00:00+00:00,0.01908933983462435,0.020366283789606282,0.02389894600008844,0.025675000028844805,0.02578519316201568,0.027548283292751663
2020-01-01 16:00:00+00:00,0.020366283789606282,0.02389894600008844,0.025675000028844805,0.02578519316201568,0.027548283292751663,0.03119762058541528
2020-01-01 17:00:00+00:00,0.02389894600008844,0.025675000028844805,0.02578519316201568,0.027548283292751663,0.03119762058541528,0.034542306274605854
2020-01-01 18:00:00+00:00,0.025675000028844805,0.02578519316201568,0.027548283292751663,0.03119762058541528,0.034542306274605854,0.04368185437878938
2020-01-01 19:00:00+00:00,0.02578519316201568,0.027548283292751663,0.03119762058541528,0.034542306274605854,0.04368185437878938,0.05419557567310535
2020-01-01 20:00:00+00:00,0.027548283292751663,0.03119762058541528,0.034542306274605854,0.04368185437878938,0.05419557567310535,0.06657609828231839
2020-01-01 21:00:00+00:00,0.03119762058541528,0.034542306274605854,0.04368185437878938,0.05419557567310535,0.06657609828231839,0.0785352942058777
2020-01-01 22:00:00+00:00,0.034542306274605854,0.04368185437878938,0.05419557567310535,0.06657609828231839,0.0785352942058777,0.08421348153868959
2020-01-01 23:00:00+00:00,0.04368185437878938,0.05419557567310535,0.06657609828231839,0.0785352942058777,0.08421348153868959,0.09693754744543602
2020-01-02 00:00:00+00:00,0.05419557567310535,0.06657609828231839,0.0785352942058777,0.08421348153868959,0.09693754744543602,0.10529926166841244
2020-01-02 01:00:00+00:00,0.06657609828231839,0.0785352942058777,0.08421348153868959,0.09693754744543602,0.10529926166841244,0.11517775195974274
2020-01-02 02:00:00+00:00,0.0785352942058777,0.08421348153868959,0.09693754744543602,0.10529926166841244,0.11517775195974274,0.1286731697986861
